ISIN,MarketSegment,UnderlyingSymbol,UnderlyingISIN,Currency,SecurityType,MaturityDate,StrikePrice,PutOrCall,MLEG,ContractGenerationNumber,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,NumberOfContracts,NumberOfTrades
"DE000C0NSEN6","FESX","SX5E","EU0009658145","EUR",FUT,20180316,,,,,2258377,2018-02-01,07:00,3615,3620,3614,3620,2423,181
"DE000C02MHL4","F2MX","MDAX","DE0008467416","EUR",FUT,20180316,,,,,2479912,2018-02-01,07:00,26820,26820,26820,26820,2,2
"DE000C02MHQ3","FDAX","DAX","DE0008469008","EUR",FUT,20180316,,,,,2479916,2018-02-01,07:00,13243.5,13255,13243.5,13253.5,167,126
"DE000C02MHS9","FDXM","DAX","DE0008469008","EUR",FUT,20180316,,,,,2479918,2018-02-01,07:00,13242,13250,13235,13249,68,46
"DE000C02MJV9","FSMI","SMI","CH0009980894","CHF",FUT,20180316,,,,,2479954,2018-02-01,07:00,9255,9257,9248,9255,40,27
"DE000C0NSEN6","FESX","SX5E","EU0009658145","EUR",FUT,20180316,,,,,2258377,2018-02-01,07:01,3620,3621,3620,3620,1142,70
"DE000C01YSB9","FBTP",,,"EUR",FUT,20180308,,,,,2468258,2018-02-01,07:01,135.82,136,135.82,135.97,153,60
"DE000C01YSD5","FGBL",,,"EUR",FUT,20180308,,,,,2468260,2018-02-01,07:01,158.54,158.64,158.53,158.62,3762,280
"DE000C01YSE3","FGBM",,,"EUR",FUT,20180308,,,,,2468261,2018-02-01,07:01,130.39,130.41,130.38,130.4,971,61
"DE000C01YSF0","FGBS",,,"EUR",FUT,20180308,,,,,2468262,2018-02-01,07:01,111.805,111.81,111.805,111.81,161,9
"DE000C01YSG8","FGBX",,,"EUR",FUT,20180308,,,,,2468263,2018-02-01,07:01,160.98,161.22,160.98,161.2,138,56
"DE000C01YSJ2","FOAT",,,"EUR",FUT,20180308,,,,,2468265,2018-02-01,07:01,152.76,152.86,152.72,152.85,593,110
"DE000C02MHQ3","FDAX","DAX","DE0008469008","EUR",FUT,20180316,,,,,2479916,2018-02-01,07:01,13251.5,13257,13247,13247.5,170,116
"DE000C02MHS9","FDXM","DAX","DE0008469008","EUR",FUT,20180316,,,,,2479918,2018-02-01,07:01,13247,13254,13244,13244,48,27
"DE000C02MJV9","FSMI","SMI","CH0009980894","CHF",FUT,20180316,,,,,2479954,2018-02-01,07:01,9256,9257,9253,9254,49,17
"DE000C02MKS3","FXXP","SXXP","EU0009658202","EUR",FUT,20180316,,,,,2479984,2018-02-01,07:01,395.5,395.5,395.4,395.4,5,2
"DE000C0NSEN6","FESX","SX5E","EU0009658145","EUR",FUT,20180316,,,,,2258377,2018-02-01,07:02,3620,3621,3620,3621,270,39
"DE000C01YSB9","FBTP",,,"EUR",FUT,20180308,,,,,2468258,2018-02-01,07:02,135.96,136.04,135.91,136.03,163,46
"DE000C01YSD5","FGBL",,,"EUR",FUT,20180308,,,,,2468260,2018-02-01,07:02,158.63,158.64,158.58,158.63,2488,190
"DE000C01YSE3","FGBM",,,"EUR",FUT,20180308,,,,,2468261,2018-02-01,07:02,130.4,130.41,130.39,130.41,2546,66
"DE000C01YSF0","FGBS",,,"EUR",FUT,20180308,,,,,2468262,2018-02-01,07:02,111.81,111.815,111.81,111.815,2075,16
"DE000C01YSG8","FGBX",,,"EUR",FUT,20180308,,,,,2468263,2018-02-01,07:02,161.18,161.24,161.08,161.24,94,40
"DE000C01YSJ2","FOAT",,,"EUR",FUT,20180308,,,,,2468265,2018-02-01,07:02,152.83,152.84,152.78,152.83,342,81
"DE000C02MHQ3","FDAX","DAX","DE0008469008","EUR",FUT,20180316,,,,,2479916,2018-02-01,07:02,13249,13251.5,13248.5,13251.5,116,70
"DE000C02MHS9","FDXM","DAX","DE0008469008","EUR",FUT,20180316,,,,,2479918,2018-02-01,07:02,13248,13250,13246,13249,35,22
"DE000C02MJV9","FSMI","SMI","CH0009980894","CHF",FUT,20180316,,,,,2479954,2018-02-01,07:02,9255,9258,9255,9258,55,14
"DE000C0NSEN6","FESX","SX5E","EU0009658145","EUR",FUT,20180316,,,,,2258377,2018-02-01,07:03,3620,3621,3620,3620,849,41
"DE000C01YSB9","FBTP",,,"EUR",FUT,20180308,,,,,2468258,2018-02-01,07:03,136.03,136.08,136.03,136.08,272,46
"DE000C01YSD5","FGBL",,,"EUR",FUT,20180308,,,,,2468260,2018-02-01,07:03,158.63,158.65,158.63,158.65,777,61
"DE000C01YSE3","FGBM",,,"EUR",FUT,20180308,,,,,2468261,2018-02-01,07:03,130.41,130.42,130.41,130.42,608,23
"DE000C01YSF0","FGBS",,,"EUR",FUT,20180308,,,,,2468262,2018-02-01,07:03,111.815,111.82,111.815,111.82,1664,32
"DE000C01YSG8","FGBX",,,"EUR",FUT,20180308,,,,,2468263,2018-02-01,07:03,161.28,161.3,161.26,161.28,25,7
"DE000C01YSJ2","FOAT",,,"EUR",FUT,20180308,,,,,2468265,2018-02-01,07:03,152.84,152.85,152.84,152.85,181,24
"DE000C02MHQ3","FDAX","DAX","DE0008469008","EUR",FUT,20180316,,,,,2479916,2018-02-01,07:03,13252,13252,13247.5,13251,94,65
"DE000C02MHS9","FDXM","DAX","DE0008469008","EUR",FUT,20180316,,,,,2479918,2018-02-01,07:03,13250,13251,13246,13251,45,36
"DE000C02MJV9","FSMI","SMI","CH0009980894","CHF",FUT,20180316,,,,,2479954,2018-02-01,07:03,9259,9259,9257,9257,32,10
"DE000C02MKS3","FXXP","SXXP","EU0009658202","EUR",FUT,20180316,,,,,2479984,2018-02-01,07:03,395.4,395.4,395.4,395.4,4,2
"DE000C08RE05","OGBL","FGBL","DE0009652644","EUR",OPT,20180223,159,Call,,1,2629960,2018-02-01,07:03,0.55,0.55,0.55,0.55,1,1
"DE000C1LCUQ1","OGBL","FGBL","DE0009652644","EUR",OPT,20180323,155,Put,,1,2886881,2018-02-01,07:03,0.73,0.73,0.73,0.73,2,1
"DE000C0NSEN6","FESX","SX5E","EU0009658145","EUR",FUT,20180316,,,,,2258377,2018-02-01,07:04,3620,3623,3620,3621,1677,75
"DE000C01YSB9","FBTP",,,"EUR",FUT,20180308,,,,,2468258,2018-02-01,07:04,136.08,136.13,136.08,136.08,340,54
"DE000C01YSC7","FBTS",,,"EUR",FUT,20180308,,,,,2468259,2018-02-01,07:04,113.25,113.25,113.25,113.25,161,4
"DE000C01YSD5","FGBL",,,"EUR",FUT,20180308,,,,,2468260,2018-02-01,07:04,158.64,158.66,158.63,158.63,662,77
"DE000C01YSE3","FGBM",,,"EUR",FUT,20180308,,,,,2468261,2018-02-01,07:04,130.43,130.43,130.42,130.43,53,13
"DE000C01YSF0","FGBS",,,"EUR",FUT,20180308,,,,,2468262,2018-02-01,07:04,111.815,111.82,111.815,111.82,116,21
"DE000C01YSG8","FGBX",,,"EUR",FUT,20180308,,,,,2468263,2018-02-01,07:04,161.26,161.3,161.26,161.28,43,24
"DE000C01YSJ2","FOAT",,,"EUR",FUT,20180308,,,,,2468265,2018-02-01,07:04,152.86,152.86,152.83,152.84,244,39
"DE000C02MHQ3","FDAX","DAX","DE0008469008","EUR",FUT,20180316,,,,,2479916,2018-02-01,07:04,13252,13257.5,13250.5,13251,202,125
"DE000C02MHS9","FDXM","DAX","DE0008469008","EUR",FUT,20180316,,,,,2479918,2018-02-01,07:04,13251,13256,13250,13251,68,52
"DE000C02MJV9","FSMI","SMI","CH0009980894","CHF",FUT,20180316,,,,,2479954,2018-02-01,07:04,9258,9261,9258,9261,13,5
"DE000C02MKS3","FXXP","SXXP","EU0009658202","EUR",FUT,20180316,,,,,2479984,2018-02-01,07:04,395.4,395.5,395.4,395.4,67,6
"DE000C03JBH9","FVS","V2TX","DE000A0C3QF1","EUR",FUT,20180214,,,,,2509649,2018-02-01,07:04,15.4,15.4,15.3,15.3,51,8
"DE000C05DXP4","FVS","V2TX","DE000A0C3QF1","EUR",FUT,20180321,,,,,2549108,2018-02-01,07:04,14.7,14.7,14.7,14.7,5,1
"DE000C08RE21","OGBL","FGBL","DE0009652644","EUR",OPT,20180223,159.5,Call,,1,2629962,2018-02-01,07:04,0.36,0.36,0.36,0.36,1,1
"DE000C1LCV49","OGBL","FGBL","DE0009652644","EUR",OPT,20180323,157.5,Call,,1,2886890,2018-02-01,07:04,0.49,0.49,0.49,0.49,3,1
"DE000C0NSEN6","FESX","SX5E","EU0009658145","EUR",FUT,20180316,,,,,2258377,2018-02-01,07:05,3621,3622,3621,3621,471,39
"DE000C01YSB9","FBTP",,,"EUR",FUT,20180308,,,,,2468258,2018-02-01,07:05,136.08,136.09,136.03,136.06,115,31
